,mgrs_tile,base_url,sensing_time,cloud_cover
1317699,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2B_MSIL1C_20200514T025549_N0209_R032_T50RKQ_20200514T063155.SAFE,2020-05-14 03:10:31.287 UTC,57.77
1319128,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20190504T173909_N0207_R098_T13TDE_20190504T211744.SAFE,2019-05-04 17:53:07 UTC,50.3751
1320064,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2B_MSIL1C_20190510T025549_N0207_R032_T50RKQ_20190510T063146.SAFE,2019-05-10 03:10:40 UTC,37.4383
1321604,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2B_MSIL1C_20180812T182909_N0206_R027_T11SPB_20180812T222509.SAFE,2018-08-12 18:33:02.36 UTC,0.4065
1321815,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2B_MSIL1C_20180803T025539_N0206_R032_T50RKQ_20180803T063626.SAFE,2018-08-03 03:06:26.25 UTC,66.431
1323203,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20180830T174859_N0206_R141_T13TDE_20180830T225824.SAFE,2018-08-30 17:56:47.47 UTC,10.2296
1323425,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2B_MSIL1C_20180823T025539_N0206_R032_T50RKQ_20180823T063509.SAFE,2018-08-23 03:06:43.89 UTC,33.4018
1324299,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20210531T174911_N0300_R141_T13TDE_20210531T214551.SAFE,2021-05-31 18:02:56.3 UTC,73.6444
1324437,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20210503T173859_N0300_R098_T13TDE_20210503T210424.SAFE,2021-05-03 17:52:55.899 UTC,96.0655
1326094,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2A_MSIL1C_20180808T025541_N0206_R032_T50RKQ_20180808T060040.SAFE,2018-08-08 03:01:45.24 UTC,16.1838
1330197,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20210126T175619_N0209_R141_T13TDE_20210126T201129.SAFE,2021-01-26 18:02:55.319 UTC,99.9981
1330974,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2B_MSIL1C_20210116T175659_N0209_R141_T13TDE_20210116T195948.SAFE,2021-01-16 18:02:55.219 UTC,37.4236
1333448,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20210709T181921_N0301_R127_T11SPB_20210709T220340.SAFE,2021-07-09 18:34:01.238 UTC,1.2758
1333853,13TDE,gs://gcp-public-data-sentinel-2/tiles/13/T/DE/S2A_MSIL1C_20200625T174911_N0209_R141_T13TDE_20200625T212928.SAFE,2020-06-25 18:03:00.995 UTC,85.5259
1334241,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2A_MSIL1C_20200624T181931_N0209_R127_T11SPB_20200624T215925.SAFE,2020-06-24 18:34:03.968 UTC,24.5152
1334408,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2A_MSIL1C_20200628T025551_N0209_R032_T50RKQ_20200628T054453.SAFE,2020-06-28 03:10:37.537 UTC,90.4677
1335765,50RKQ,gs://gcp-public-data-sentinel-2/tiles/50/R/KQ/S2B_MSIL1C_20200603T025549_N0209_R032_T50RKQ_20200603T063116.SAFE,2020-06-03 03:10:34.007 UTC,99.7356
1335843,11SPB,gs://gcp-public-data-sentinel-2/tiles/11/S/PB/S2B_MSIL1C_20200602T182919_N0209_R027_T11SPB_20200602T220412.SAFE,2020-06-02 18:43:56.121 UTC,94.5153
